AutoRange,Off
Start Time,2024-12-2 17:56:21.439830
Firmware Version,K-01.07.03-01.00-01.10-01.05
ResolutionEnum,FAST
Serial Number,CN63230110
Stop Time,2024-12-2 18:02:25.170329
Model,EDU34450A
Range(ADC),3.0
TriggerSource,Immediate
Address,USB0::0x2A8D::0x8E01::CN63230110::0::INSTR
TriggerDelay,0.0
Sample Count,363

Time Stamp(s),Records,DC Current(ADC),
2024-12-2 18:00:10.494439,229,0.0137479949,
2024-12-2 18:00:11.500411,230,0.0137532621,
2024-12-2 18:00:12.432651,231,0.013738047,
2024-12-2 18:00:13.412479,232,0.0137287585,
2024-12-2 18:00:14.419030,233,0.0184485536,
2024-12-2 18:00:15.417950,234,0.0208904779,
2024-12-2 18:00:16.421442,235,0.0137336883,
2024-12-2 18:00:17.432409,236,0.0137336442,
2024-12-2 18:00:18.432234,237,0.0137495481,
2024-12-2 18:00:19.453769,238,0.0209202489,
2024-12-2 18:00:20.455327,239,0.0226375941,
2024-12-2 18:00:21.554725,240,0.0137489506,
2024-12-2 18:00:22.569672,241,0.0212436658,
2024-12-2 18:00:23.578950,242,0.0232346612,
2024-12-2 18:00:24.571813,243,0.0246696514,
2024-12-2 18:00:25.571043,244,0.0232518608,
2024-12-2 18:00:26.477251,245,0.023340035,
2024-12-2 18:00:27.478866,246,0.023010691,
2024-12-2 18:00:28.478852,247,0.0233521717,
2024-12-2 18:00:29.495096,248,0.0260756474,
2024-12-2 18:00:30.478753,249,0.0233460928,
2024-12-2 18:00:31.497532,250,0.028976633,
2024-12-2 18:00:32.495009,251,0.0290835282,
2024-12-2 18:00:33.499262,252,0.029186205,
2024-12-2 18:00:34.573991,253,0.0290695078,
2024-12-2 18:00:35.592456,254,0.0291179915,
2024-12-2 18:00:36.619733,255,0.0285174319,
2024-12-2 18:00:37.616680,256,0.0319691059,
2024-12-2 18:00:38.619498,257,0.0335878917,
2024-12-2 18:00:39.578535,258,0.0341888268,
2024-12-2 18:00:40.533749,259,0.0291014613,
2024-12-2 18:00:41.535097,260,0.0245250465,
2024-12-2 18:00:42.536392,261,0.0290740446,
2024-12-2 18:00:43.556631,262,0.0342892738,
2024-12-2 18:00:44.555700,263,0.192747743,
2024-12-2 18:00:45.552415,264,0.0603046573,
2024-12-2 18:00:46.554713,265,0.0558912486,
2024-12-2 18:00:47.555333,266,0.0548268893,
2024-12-2 18:00:48.667496,267,0.0307115685,
2024-12-2 18:00:49.676984,268,0.0362753719,
2024-12-2 18:00:50.672563,269,0.0544601497,
2024-12-2 18:00:51.689103,270,0.0630717096,
2024-12-2 18:00:52.691790,271,0.052997062,
2024-12-2 18:00:53.592882,272,0.0458494388,
2024-12-2 18:00:54.586941,273,0.0373986197,
2024-12-2 18:00:55.597091,274,0.0291003788,
2024-12-2 18:00:56.592154,275,0.0288344621,
2024-12-2 18:00:57.610269,276,0.0291205973,
2024-12-2 18:00:58.608465,277,0.0137460371,
2024-12-2 18:00:59.612393,278,0.0137419911,
2024-12-2 18:01:00.616907,279,0.0137404445,
2024-12-2 18:01:01.695893,280,0.0137411073,
2024-12-2 18:01:02.734907,281,0.0195482248,
2024-12-2 18:01:03.748220,282,0.0137378448,
2024-12-2 18:01:04.752977,283,0.0157890392,
2024-12-2 18:01:05.750110,284,0.0137517935,
2024-12-2 18:01:06.712558,285,0.0168698635,
2024-12-2 18:01:07.652894,286,0.0137395702,
2024-12-2 18:01:08.650487,287,0.0176874778,
2024-12-2 18:01:09.645627,288,0.0137668747,
2024-12-2 18:01:10.674736,289,0.0137496791,
2024-12-2 18:01:11.672285,290,0.0137522594,
2024-12-2 18:01:12.672783,291,0.0164687988,
2024-12-2 18:01:13.668574,292,0.0164607879,
2024-12-2 18:01:14.673450,293,0.0137564642,
2024-12-2 18:01:15.790808,294,0.0137391374,
2024-12-2 18:01:16.793677,295,0.0229430216,
2024-12-2 18:01:17.792721,296,0.0165291599,
2024-12-2 18:01:18.815697,297,0.0137286633,
2024-12-2 18:01:19.814389,298,0.0137510955,
2024-12-2 18:01:20.709748,299,0.0137367752,
2024-12-2 18:01:21.709707,300,0.0137471861,
2024-12-2 18:01:22.726811,301,0.016731297,
2024-12-2 18:01:23.752864,302,0.0137401127,
2024-12-2 18:01:24.754596,303,0.0137593886,
2024-12-2 18:01:25.753182,304,0.0137703797,
